# Version 1.00
#
freq[Hz]	re:Trc1_S11	im:Trc1_S11	re:Trc2_S11	im:Trc2_S11	
1.430000000000000E+008	-9.866237640380859E-002	-5.588285997509956E-002	-9.866237640380859E-002	-5.588285997509956E-002	
1.435000000000000E+008	-6.418990343809128E-002	-4.274669103324413E-003	-6.418990343809128E-002	-4.274669103324413E-003	
1.440000000000000E+008	-3.540769685059786E-003	6.536689121276140E-003	-3.540769685059786E-003	6.536689121276140E-003	
1.445000000000000E+008	4.346217587590218E-002	-4.552695527672768E-002	4.346217587590218E-002	-4.552695527672768E-002	
1.450000000000000E+008	1.074071135371923E-002	-1.371492445468903E-001	1.074071135371923E-002	-1.371492445468903E-001	
1.455000000000000E+008	-1.469628363847733E-001	-1.574396640062332E-001	-1.469628363847733E-001	-1.574396640062332E-001	
1.460000000000000E+008	-2.906832695007324E-001	4.114696010947228E-002	-2.906832695007324E-001	4.114696010947228E-002	
1.465000000000000E+008	-1.546970456838608E-001	3.628836572170258E-001	-1.546970456838608E-001	3.628836572170258E-001	
1.470000000000000E+008	2.756643593311310E-001	4.320200085639954E-001	2.756643593311310E-001	4.320200085639954E-001	
1.475000000000000E+008	5.978320240974426E-001	1.044977754354477E-001	5.978320240974426E-001	1.044977754354477E-001	
1.480000000000000E+008	5.834590792655945E-001	-3.178449571132660E-001	5.834590792655945E-001	-3.178449571132660E-001	
1.485000000000000E+008	3.496731221675873E-001	-6.060171127319336E-001	3.496731221675873E-001	-6.060171127319336E-001	
1.490000000000000E+008	4.165929928421974E-002	-7.179532647132874E-001	4.165929928421974E-002	-7.179532647132874E-001	
1.495000000000000E+008	-2.475221604108810E-001	-6.853258013725281E-001	-2.475221604108810E-001	-6.853258013725281E-001	
1.500000000000000E+008	-4.787850677967072E-001	-5.541689991950989E-001	-4.787850677967072E-001	-5.541689991950989E-001	
1.505000000000000E+008	-6.379923820495606E-001	-3.658276796340942E-001	-6.379923820495606E-001	-3.658276796340942E-001	
1.510000000000000E+008	-7.199192047119141E-001	-1.466410309076309E-001	-7.199192047119141E-001	-1.466410309076309E-001	
1.515000000000000E+008	-7.295491099357605E-001	7.379356026649475E-002	-7.295491099357605E-001	7.379356026649475E-002	
1.520000000000000E+008	-6.733548641204834E-001	2.817406654357910E-001	-6.733548641204834E-001	2.817406654357910E-001	
1.525000000000000E+008	-5.644139051437378E-001	4.574087858200073E-001	-5.644139051437378E-001	4.574087858200073E-001	
1.530000000000000E+008	-4.167689383029938E-001	5.940054059028626E-001	-4.167689383029938E-001	5.940054059028626E-001	
