# Version 1.00
#
freq[Hz]	Trc1_S11[U]	Trc2_S11[U]	
1.360000000000000E+008	3.464364386941991E+000	3.464364386941991E+000	
1.365000000000000E+008	3.110762421972408E+000	3.110762421972408E+000	
1.370000000000000E+008	2.756626065013667E+000	2.756626065013667E+000	
1.375000000000000E+008	2.428796744735664E+000	2.428796744735664E+000	
1.380000000000000E+008	2.152176097221369E+000	2.152176097221369E+000	
1.385000000000000E+008	1.921068534818523E+000	1.921068534818523E+000	
1.390000000000000E+008	1.723336053889625E+000	1.723336053889625E+000	
1.395000000000000E+008	1.549925830792244E+000	1.549925830792244E+000	
1.400000000000000E+008	1.405478917177974E+000	1.405478917177974E+000	
1.405000000000000E+008	1.286181768158035E+000	1.286181768158035E+000	
1.410000000000000E+008	1.186324540003382E+000	1.186324540003382E+000	
1.415000000000000E+008	1.120803211369037E+000	1.120803211369037E+000	
1.420000000000000E+008	1.091577923661216E+000	1.091577923661216E+000	
1.425000000000000E+008	1.074622052923582E+000	1.074622052923582E+000	
1.430000000000000E+008	1.043743420271674E+000	1.043743420271674E+000	
1.435000000000000E+008	1.003270612464396E+000	1.003270612464396E+000	
1.440000000000000E+008	1.038236899634880E+000	1.038236899634880E+000	
1.445000000000000E+008	1.057761013220661E+000	1.057761013220661E+000	
1.450000000000000E+008	1.046486621043542E+000	1.046486621043542E+000	
1.455000000000000E+008	1.106289642588056E+000	1.106289642588056E+000	
1.460000000000000E+008	1.352060436558950E+000	1.352060436558950E+000	
1.465000000000000E+008	1.916094171131160E+000	1.916094171131160E+000	
1.470000000000000E+008	2.978202393963689E+000	2.978202393963689E+000	
1.475000000000000E+008	4.354338911516177E+000	4.354338911516177E+000	
1.480000000000000E+008	5.536672526783735E+000	5.536672526783735E+000	
1.485000000000000E+008	6.230328505812629E+000	6.230328505812629E+000	
1.490000000000000E+008	6.540932496743274E+000	6.540932496743274E+000	
1.495000000000000E+008	6.721576268924667E+000	6.721576268924667E+000	
1.500000000000000E+008	6.781847964950933E+000	6.781847964950933E+000	
1.505000000000000E+008	6.709531370123363E+000	6.709531370123363E+000	
1.510000000000000E+008	6.701885058034379E+000	6.701885058034379E+000	
1.515000000000000E+008	6.598832149071916E+000	6.598832149071916E+000	
1.520000000000000E+008	6.522496039939327E+000	6.522496039939327E+000	
1.525000000000000E+008	6.425041387269379E+000	6.425041387269379E+000	
1.530000000000000E+008	6.321566037989913E+000	6.321566037989913E+000	
1.535000000000000E+008	6.264417925499529E+000	6.264417925499529E+000	
1.540000000000000E+008	6.204697517612189E+000	6.204697517612189E+000	
1.545000000000000E+008	6.256670066587445E+000	6.256670066587445E+000	
1.550000000000000E+008	6.239528251442283E+000	6.239528251442283E+000	
1.555000000000000E+008	6.219418391114771E+000	6.219418391114771E+000	
1.560000000000000E+008	6.282410450194281E+000	6.282410450194281E+000	
1.565000000000000E+008	6.318410653013546E+000	6.318410653013546E+000	
1.570000000000000E+008	6.404272867087768E+000	6.404272867087768E+000	
1.575000000000000E+008	6.494063327399678E+000	6.494063327399678E+000	
1.580000000000000E+008	6.528804140623831E+000	6.528804140623831E+000	
1.585000000000000E+008	6.583370434190753E+000	6.583370434190753E+000	
1.590000000000000E+008	6.667993097521509E+000	6.667993097521509E+000	
1.595000000000000E+008	6.749821142652205E+000	6.749821142652205E+000	
1.600000000000000E+008	6.778837521278572E+000	6.778837521278572E+000	
1.605000000000000E+008	6.761564748263365E+000	6.761564748263365E+000	
1.610000000000000E+008	6.774583148369224E+000	6.774583148369224E+000	
1.615000000000000E+008	6.780203411237408E+000	6.780203411237408E+000	
1.620000000000000E+008	6.733728035973416E+000	6.733728035973416E+000	
1.625000000000000E+008	6.681629710900990E+000	6.681629710900990E+000	
1.630000000000000E+008	6.609959652942952E+000	6.609959652942952E+000	
1.635000000000000E+008	6.559664372684099E+000	6.559664372684099E+000	
1.640000000000000E+008	6.488311456765999E+000	6.488311456765999E+000	
1.645000000000000E+008	6.435473207125734E+000	6.435473207125734E+000	
1.650000000000000E+008	6.298053878403522E+000	6.298053878403522E+000	
1.655000000000000E+008	6.248541355600039E+000	6.248541355600039E+000	
1.660000000000000E+008	6.195145561856529E+000	6.195145561856529E+000	
1.665000000000000E+008	6.153332394511883E+000	6.153332394511883E+000	
