#	Version	1.00	
#			
freq[Hz]	re:Trc1_S11[U]	im:Trc1_S11[U]	
1.955000000000000E+008	-2.053502798080444E-001	6.735317111015320E-001	
1.960000000000000E+008	-5.724846571683884E-002	6.999295949935913E-001	
1.965000000000000E+008	9.560325741767883E-002	6.954054236412048E-001	
1.970000000000000E+008	2.422930151224136E-001	6.586179733276367E-001	
1.975000000000000E+008	3.778596818447113E-001	5.897746086120606E-001	
1.980000000000000E+008	4.974760711193085E-001	4.938393533229828E-001	
1.985000000000000E+008	5.915504693984985E-001	3.720475435256958E-001	
1.990000000000000E+008	6.593011021614075E-001	2.337058037519455E-001	
1.995000000000000E+008	6.934571266174316E-001	8.273304253816605E-002	
2.000000000000000E+008	6.942563652992249E-001	-7.244426012039185E-002	
